Underwrite 	Subscrever
Undo 	Desfazer
Unwind 	Liberar, Desatar
Uphold 	Sustentar
Upset 	Preocupar
Wake 	Acordar
Waylay 	Armar ciladas
Wear 	Vestir
Weave 	Tecer
Wed 	Casar
Weep 	Chorar, Lamentar
Wet 	Molhar
Win 	Vencer (Intr.)
Wind 	Girar, Rodar
Withdraw 	Retroceder, sacar
Withhold 	Reter, Evitar
Withstand 	Opor-se
Wring 	Arrancar
Write 	Escrever

